OBJECTID,REPORT_DATE,WARD,LIVES_LOST,POSITIVE_CASES,TOTAL_TESTS,LOAD_TIME
280,2021/04/28 00:00:00+00,Ward 3,56,2604,159554,2023/01/07 08:00:08+00
281,2021/04/29 00:00:00+00,Ward 3,56,2606,,2023/01/07 08:00:08+00
282,2021/04/30 00:00:00+00,Ward 3,56,2613,161050,2023/01/07 08:00:08+00
283,2021/05/01 00:00:00+00,Ward 3,56,2611,161558,2023/01/07 08:00:08+00
284,2021/05/02 00:00:00+00,Ward 3,56,2614,161848,2023/01/07 08:00:08+00
285,2021/05/03 00:00:00+00,Ward 3,56,2620,162081,2023/01/07 08:00:08+00
286,2021/05/04 00:00:00+00,Ward 3,56,2622,161050,2023/01/07 08:00:08+00
287,2021/05/05 00:00:00+00,Ward 3,56,2624,163286,2023/01/07 08:00:08+00
288,2021/05/06 00:00:00+00,Ward 3,56,2626,163754,2023/01/07 08:00:08+00
289,2021/05/07 00:00:00+00,Ward 3,56,2625,163993,2023/01/07 08:00:08+00
290,2021/05/08 00:00:00+00,Ward 3,56,2624,164050,2023/01/07 08:00:08+00
291,2021/05/09 00:00:00+00,Ward 3,56,2626,164074,2023/01/07 08:00:08+00
292,2021/05/10 00:00:00+00,Ward 3,56,2627,164721,2023/01/07 08:00:08+00
293,2021/05/11 00:00:00+00,Ward 3,56,2631,165174,2023/01/07 08:00:08+00
294,2021/05/12 00:00:00+00,Ward 3,56,2635,165601,2023/01/07 08:00:08+00
295,2021/05/13 00:00:00+00,Ward 3,56,2635,165978,2023/01/07 08:00:08+00
